1,0,128,25.9,1.8,0.3,15,44,1.8,282,410,0.21,0.17,1.0
1,1,168,29.0,4.8,0.3,21,800,8.0,165,330,0.02,0.06,0.0
1,2,78,14.8,1.3,0.7,35,0,1.7,217,0,0.0,0.0,0.0
1,3,105,20.8,0.8,2.4,10,254,1.3,56,369,0.04,0.1,3.0
1,4,322,65.7,1.4,7.6,34,2500,1.2,610,810,0.12,0.3,0.0
1,5,105,20.8,0.8,2.4,10,0,0.8,50,0,0.04,0.1,3.0
1,6,59,10.8,0.8,1.5,48,450,2.0,170,260,0.0,0.2,0.0
1,7,352,77.6,0.4,4.4,6,2300,3.0,85,960,0.0,0.0,0.0
1,8,76,14.5,1.0,1.4,61,0,3.2,163,0,0.03,0.32,1.0
1,9,100,17.6,1.9,1.9,24,250,2.8,250,330,0.04,0.29,2.0
1,10,80,15.18,1.73,0.0,65,735,2.95,110,221,0.13,0.1,2.0
1,11,60,12.3,0.82,0.0,31,371,0.92,113,200,0.02,0.25,0.0
1,12,112,21.6,0.3,4.4,45,500,1.4,112,250,0.02,0.15,0.0
1,13,216,18.07,10.94,10.13,42,464,0.82,236,333,0.042,0.11,2.3
1,14,86,18.2,0.8,0.3,71,86,1.1,193,401,0.08,0.12,1.0
1,15,102,22.4,0.7,0.0,46,20,1.7,202,6,0.05,0.12,0.0
1,16,63,5.25,0.85,11.99,184,1,2.2,86,469,0.276,0.386,62.05
1,17,76,5.67,0.7,15.87,211,1,3.43,104,678,0.213,0.615,100.73
1,18,80,17.3,0.7,0.0,882,0,1.2,533,0,0.04,0.09,0.0
1,19,98,21.6,0.6,0.0,227,254,0.8,567,110,0.06,0.16,0.0
1,20,99,22.2,0.5,0.0,685,0,1.3,388,0,0.03,0.06,0.0
1,21,65,13.0,1.0,0.0,67,0,1.2,167,0,0.02,0.12,0.0
1,22,312,39.3,0.6,35.8,160,0,11.2,664,0,0.03,0.02,0.0
1,23,84,16.8,1.4,0.0,44,0,1.2,184,0,0.11,0.15,0.0
1,24,91,18.3,1.3,0.2,22,0,1.9,144,0,0.0,0.0,0.0
1,25,84,18.2,0.4,0.7,51,0,0.6,191,0,0.0,0.0,0.0
1,26,94,19.4,1.1,0.3,55,0,0.6,224,0,0.0,0.0,0.0
1,27,91,20.0,0.6,0.0,11,185,0.2,234,263,0.08,0.3,1.0
1,28,93,19.9,0.7,0.5,16,0,0.3,197,0,0.21,0.33,1.0
1,29,83,18.2,0.2,0.8,18,0,0.2,237,0,0.1,0.21,1.0
1,30,129,22.1,3.7,0.3,40,230,0.7,196,377,0.18,0.26,2.0
1,31,84,16.8,1.4,0.0,44,0,1.2,184,0,0.11,0.15,0.0
